Team Name,Points,Number of Persons Voted
AI Feed,51,34
Alertify,92,61
Auto-Generate Liveboards,14,9
AutoHeal,71,47
Automate Debugging for C++,60,40
AutoSpot,20,13
BreakGlass,82,54
Bye Bye Atlas,86,57
Change Analysis : Ultra Pro Max,74,49
Calculated Creators,74,49
CatchTheDrift,87,58
Cloud Brain,99,66
Cloud-Sleuth,27,18
CodeCrafters,74,49
CodeFreshner.ai,3,2
CollabHub,27,18
ConfigCrafters,25,16
Data Express (Route : TWB to TML),20,13
DataBot (aka Ask Data),88,58
DataBridge Innovators,59,39
DataSage,13,8
DevX v2,8,5
Digital QBR,89,59
Email Limit Breakers,52,34
Field Transformers,1,1
Forecast Force,83,55
Formula Wizards,87,58
Front and Furious,29,19
GDC,37,24
Hi-fi TML,1,1
IDE notifier & 1 click cluster,63,42
InsightPulse,59,39
KPI-nstein,20,13
LangExplorer,32,21
Live Object Version Enhancement,75,50
Liveboard Pro,57,38
Lose that fat!,21,14
MetaMorphosis,88,58
Metric Maniacs,48,32
Migration Maestros,54,36
Natural Explorers,11,7
Nebula ❤️ TSE,55,36
Notebook Ninjas,52,34
One Stop Observability,86,57
Parameters Everywhere,24,16
Parent-Child,21,14
Party parrot 🦜,48,32
PostMen,31,20
ProdPush Ninjas,14,9
Push Binaries to SaaS v2,13,8
Query Wizards,27,18
Raphael,12,8
Reactivators,88,58
Rockview 2.0,23,15
sage over unstructured data in Datawarehouses,64,42
SDevLC,61,40
SpeedBrew,70,46
Frontend Infra/TRustFront,0,1
Team name,27,18
TML Titans,50,33
TrojanSpot,20,13
TS Assistant,82,54
TS in a Container,90,60
UNITAS,78,52
Visual Clarity,49,32
WhereIsTheAnomaly?,82,54
ZDU,40,26
Idle-sense,71,47
